측정일시,측정소명,이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
20230101,강남구,0.024,0.024,0.6,0.004,52,36
20230101,강동구,0.027,0.017,0.7,0.003,56,43
20230101,강북구,,0.026,0.7,0.004,51,34
20230101,강서구,0.021,0.025,0.6,0.004,62,38
20230101,관악구,0.025,0.02,0.6,0.003,54,35
20230101,광진구,0.0175,0.0176,0.79,0.0026,48,36
20230101,구로구,0.019,0.021,0.4,0.003,53,35
20230101,금천구,0.023,0.024,0.6,0.004,47,38
20230101,노원구,0.031,0.022,0.7,0.004,51,39
20230101,도봉구,0.02,0.029,0.7,0.003,43,32
20230101,동대문구,0.023,0.024,0.7,0.004,52,37
20230101,동작구,0.022,0.025,0.6,0.004,56,41
20230101,마포구,0.023,0.02,0.6,0.003,49,40
20230101,서대문구,0.024,0.022,0.7,0.005,53,37
20230101,서초구,0.018,0.024,0.5,0.003,52,37
20230101,성동구,0.027,0.022,0.6,0.003,53,33
20230101,성북구,0.03,0.021,0.8,0.004,45,34
20230101,송파구,0.03,0.018,0.7,0.003,51,35
20230101,양천구,0.023,0.02,0.6,0.003,53,39
20230101,영등포구,0.023,0.023,0.6,0.004,51,34
20230101,용산구,0.019,0.024,0.6,0.004,50,37
20230101,은평구,0.021,0.023,0.8,0.004,55,37
20230101,종로구,0.0215,0.0251,0.67,0.0038,53,42
20230101,중구,0.023,0.026,0.6,0.004,54,46
20230101,중랑구,0.03,0.021,0.7,0.003,52,39
20230101,강남대로,0.025,0.02,0.6,0.004,54,38
20230101,강변북로,0.031,0.017,0.9,0.003,51,37
20230101,공항대로,0.018,0.024,0.6,0.003,53,36
20230101,도산대로,0.024,0.019,1,0.004,54,38
20230101,동작대로,0.026,0.023,0.7,0.004,58,37
20230101,시흥대로,0.027,0.02,0.6,0.004,47,29
20230101,신촌로,0.03,0.016,0.7,0.005,62,43
20230101,영등포로,0.025,0.02,0.6,0.004,53,38
20230101,정릉로,0.033,0.016,0.8,0.004,53,40
20230101,종로,0.024,0.022,0.8,0.004,52,33
20230101,천호대로,0.037,0.015,0.9,0.004,54,37
20230101,청계천로,0.023,0.024,0.7,0.004,53,36
20230101,한강대로,0.027,0.023,0.7,0.005,58,35
20230101,홍릉로,0.027,0.017,0.7,0.004,48,39
20230101,화랑로,0.034,0.016,0.7,0.003,47,33
20230101,관악산,0.012,0.035,0.4,0.005,45,29
20230101,남산,0.018,0.025,0.8,0.004,51,37
20230101,북한산,0.009,0.032,0.4,0.003,46,33
20230101,세곡,0.024,0.021,0.7,0.004,48,32
20230101,항동,0.012,0.026,0.8,0.004,46,31
20230101,행주,0.015,0.024,0.8,0.004,62,43
20230101,마포아트센터,0.023,0.026,0.7,0.004,,36
20230101,서울숲,0.023,0.023,0.4,0.004,51,32
20230101,올림픽공원,0.025,0.027,0.9,0.003,46,35
20230101,자연사박물관,0.022,0.026,0.8,0.004,50,35
20230102,강남구,0.0206,0.0212,0.43,0.0034,24,11
20230102,강동구,0.0194,0.0173,0.38,0.0028,26,13
20230102,강북구,0.008,0.0207,0.49,0.0022,22,11
20230102,강서구,0.0176,0.022,0.44,0.0034,32,11
20230102,관악구,0.0209,0.0183,0.45,0.0031,26,11
20230102,광진구,0.0108,0.0182,0.51,0.002,21,11
20230102,구로구,0.0163,0.0186,0.28,0.0032,25,8
20230102,금천구,0.0243,0.0188,0.49,0.0035,23,14
20230102,노원구,0.0212,0.0223,0.45,0.0033,25,14
20230102,도봉구,0.013,0.0287,0.38,0.0028,21,10
20230102,동대문구,0.0169,0.0235,0.45,0.0035,24,12
20230102,동작구,0.0214,0.0187,0.41,0.003,27,14
20230102,마포구,0.0175,0.0193,0.47,0.0026,21,10
20230102,서대문구,0.0178,0.0205,0.35,0.0038,23,9
20230102,서초구,0.0186,0.0199,0.29,0.0032,23,8
20230102,성동구,0.0239,0.0186,0.42,0.0032,25,11
20230102,성북구,0.0223,0.02,0.51,0.0036,20,10
20230102,송파구,0.0256,0.0169,0.51,0.003,27,13
20230102,양천구,0.0188,0.0177,0.44,0.0027,26,12
20230102,영등포구,0.0188,0.0188,0.43,0.0031,22,9
20230102,용산구,0.0166,0.021,0.49,0.0033,25,14
20230102,은평구,0.016,0.0216,0.62,0.0038,23,7
20230102,종로구,0.0179,0.0224,0.44,0.0033,25,14
20230102,중구,0.019,0.0265,0.43,0.0031,23,14
20230102,중랑구,0.0232,0.0195,0.42,0.0029,23,13
20230102,강남대로,0.0273,0.0144,0.58,0.0036,30,11
20230102,강변북로,0.03,0.0144,0.74,0.0031,28,14
20230102,공항대로,0.0239,0.0154,0.42,0.0026,28,12
20230102,도산대로,0.0245,0.017,0.78,0.004,26,10
20230102,동작대로,0.0283,0.0158,0.51,0.0028,30,14
20230102,시흥대로,0.024,0.0165,0.41,0.0032,22,8
20230102,신촌로,0.0298,0.0129,0.55,0.0049,34,15
20230102,영등포로,0.0256,0.0156,0.5,0.0033,26,14
20230102,정릉로,0.0298,0.013,0.55,0.003,29,13
20230102,종로,0.0175,0.021,0.48,0.0041,25,10
20230102,천호대로,0.0309,0.0144,0.52,0.0035,30,12
20230102,청계천로,0.0176,0.0212,0.44,0.0031,25,12
20230102,한강대로,0.0235,0.0202,0.55,0.0043,28,7
20230102,홍릉로,0.0228,0.0155,0.47,0.0035,24,14
20230102,화랑로,0.0333,0.0151,0.49,0.003,27,12
20230102,관악산,0.0126,0.0263,0.3,0.0044,24,10
20230102,남산,0.015,0.0228,0.65,0.004,21,10
20230102,북한산,0.0053,0.0296,0.24,0.0031,18,9
20230102,세곡,0.0279,0.014,0.66,0.0038,29,12
20230102,항동,0.0115,0.0224,0.58,0.004,20,5
20230102,행주,0.0078,0.0256,0.28,0.004,22,9
20230102,마포아트센터,0.0194,0.0228,0.44,0.004,28,9
20230102,서울숲,0.0186,0.0194,0.13,0.004,24,7
20230102,올림픽공원,0.0201,0.0252,0.68,0.0031,20,11
20230102,자연사박물관,0.0158,0.0245,0.33,0.004,21,7
20230103,강남구,0.0303,0.0162,0.51,0.0034,29,15
20230103,강동구,0.028,0.0117,0.49,0.0028,34,21
20230103,강북구,0.0228,0.0184,0.61,0.0026,32,17
20230103,강서구,0.0302,0.0149,0.55,0.0038,37,16
20230103,관악구,0.0339,0.0133,0.6,0.0032,30,15
20230103,광진구,0.0203,0.0116,0.69,0.0022,32,19
20230103,구로구,0.0283,0.0113,0.39,0.0033,30,13
20230103,금천구,0.0292,0.0146,0.51,0.0034,25,17
20230103,노원구,0.0349,0.0156,0.62,0.0037,35,22
20230103,도봉구,0.0259,0.0194,0.54,0.0025,26,15
20230103,동대문구,0.0296,0.0164,0.59,0.0038,30,17
20230103,동작구,0.0332,0.0109,0.51,0.0027,28,17
20230103,마포구,0.0297,0.011,0.55,0.003,28,19
20230103,서대문구,0.0307,0.0135,0.77,0.0065,29,15
20230103,서초구,0.0329,0.0114,0.38,0.0032,27,12
20230103,성동구,0.0324,0.0135,0.49,0.0032,29,13
20230103,성북구,0.034,0.0135,0.69,0.0039,28,17
20230103,송파구,0.0352,0.0121,0.6,0.0029,31,18
20230103,양천구,0.0283,0.0129,0.53,0.0027,30,17
20230103,영등포구,0.0301,0.0137,0.52,0.0032,28,15
20230103,용산구,0.0262,0.0149,0.55,0.0034,28,17
20230103,은평구,0.0243,0.015,0.7,0.0035,26,11
20230103,종로구,0.0283,0.0158,0.59,0.0033,27,19
20230103,중구,0.0309,0.0181,0.54,0.0032,28,20
20230103,중랑구,0.0295,0.0157,0.52,0.0027,32,20
20230103,강남대로,0.0381,0.0086,0.78,0.0038,33,16
20230103,강변북로,0.0396,0.0103,0.83,0.0031,33,19
20230103,공항대로,0.0363,0.0097,0.59,0.0029,36,19
20230103,도산대로,0.0348,0.0134,0.73,0.0039,31,15
20230103,동작대로,0.0385,0.0109,0.64,0.003,35,18
20230103,시흥대로,0.041,0.0104,0.58,0.0037,28,12
20230103,신촌로,0.0411,0.0071,0.71,0.0043,36,20
20230103,영등포로,0.0344,0.0122,0.58,0.0036,30,18
20230103,정릉로,0.039,0.0088,0.65,0.0032,35,20
20230103,종로,0.0307,0.014,0.61,0.0036,30,14
20230103,천호대로,0.0413,0.0085,0.67,0.0035,36,20
20230103,청계천로,0.0294,0.0124,0.59,0.0032,32,17
20230103,한강대로,0.0335,0.0145,0.65,0.0037,32,12
20230103,홍릉로,0.0325,0.0107,0.56,0.0036,31,21
20230103,화랑로,0.042,0.009,0.63,0.0028,34,19
20230103,관악산,0.0114,0.0319,0.25,0.0044,22,11
20230103,남산,0.0239,0.0176,0.77,0.0041,24,14
20230103,북한산,0.007,0.0293,0.27,0.0032,21,11
20230103,세곡,0.0351,0.0102,0.88,0.0044,31,16
20230103,항동,0.0173,0.0155,0.68,0.0036,23,9
20230103,행주,0.0244,0.0169,0.35,0.0039,28,15
20230103,마포아트센터,0.0306,0.016,0.43,0.0039,28,13
20230103,서울숲,0.029,0.0144,0.28,0.0039,30,13
20230103,올림픽공원,0.0307,0.0182,0.79,0.0031,27,18
20230103,자연사박물관,0.0277,0.0172,0.24,0.004,24,12
20230104,강남구,0.0412,0.0111,0.61,0.0036,35,22
20230104,강동구,0.0349,0.0089,0.55,0.0028,37,26
20230104,강북구,0.0297,0.0165,0.69,0.0029,33,20
20230104,강서구,0.0464,0.0095,0.8,0.0046,48,26
20230104,관악구,0.0497,0.0068,0.73,0.0036,36,21
20230104,광진구,0.0238,0.0092,0.76,0.0021,34,22
20230104,구로구,0.0398,0.0081,0.51,0.0037,38,23
20230104,금천구,0.0373,0.0112,0.54,0.0037,29,21
20230104,노원구,0.0497,0.0097,0.75,0.0041,35,25
20230104,도봉구,0.0333,0.0176,0.62,0.0026,28,20
20230104,동대문구,0.039,0.013,0.67,0.0039,34,22
20230104,동작구,0.0458,0.0077,0.61,0.0034,36,24
20230104,마포구,0.0454,0.0087,0.73,0.0046,32,27
20230104,서대문구,0.04,0.0121,0.96,0.0074,34,21
20230104,서초구,0.0456,0.0075,0.53,0.0034,39,22
20230104,성동구,0.0417,0.0093,0.62,0.0036,36,17
20230104,성북구,0.0441,0.0107,0.83,0.004,31,21
20230104,송파구,0.0449,0.008,0.69,0.0033,36,23
20230104,양천구,0.0447,0.006,0.74,0.0034,38,28
20230104,영등포구,0.0471,0.0079,0.71,0.0037,38,24
20230104,용산구,0.0372,0.0104,0.64,0.0037,33,24
20230104,은평구,0.032,0.0129,0.8,0.0038,31,17
20230104,종로구,0.0335,0.0178,0.6,0.0037,33,25
20230104,중구,0.0433,0.0168,0.68,0.0035,35,29
20230104,중랑구,0.0409,0.0087,0.62,0.0029,32,23
20230104,강남대로,0.0455,0.0056,0.93,0.0048,39,24
20230104,강변북로,0.0485,0.0063,0.8,0.0031,39,26
20230104,공항대로,0.0483,0.0062,0.78,0.0036,42,26
20230104,도산대로,0.0441,0.0073,0.7,0.0041,40,24
20230104,동작대로,0.0498,0.0077,0.76,0.0036,44,25
20230104,시흥대로,0.0502,0.0066,0.72,0.0042,33,16
20230104,신촌로,0.051,0.0062,0.85,0.0036,43,29
20230104,영등포로,0.0505,0.0048,0.83,0.0039,39,26
20230104,정릉로,0.0482,0.0065,0.81,0.0036,39,25
20230104,종로,0.0432,0.0099,0.76,0.0041,34,19
20230104,천호대로,0.0482,0.006,0.77,0.0037,38,23
20230104,청계천로,0.0386,0.0091,0.73,0.0038,38,23
20230104,한강대로,0.0455,0.0111,0.78,0.0034,42,21
20230104,홍릉로,0.0396,0.0088,0.64,0.0037,33,24
20230104,화랑로,0.0471,0.0073,0.67,0.0031,35,22
20230104,관악산,0.0127,0.0351,0.29,0.0049,27,17
20230104,남산,0.0334,0.0143,0.83,0.0044,33,22
20230104,북한산,0.0082,0.0308,0.28,0.0031,22,15
20230104,세곡,0.0409,0.0083,1.05,0.0054,39,22
20230104,항동,0.024,0.0118,0.85,0.0041,29,17
20230104,행주,0.0381,0.01,0.55,0.0041,40,25
20230104,마포아트센터,0.043,0.0124,0.6,0.0042,35,22
20230104,서울숲,0.041,0.0103,0.63,0.0037,36,21
20230104,올림픽공원,0.037,0.0152,0.92,0.0032,32,23
20230104,자연사박물관,0.0389,0.0142,0.35,0.0042,29,19
20230105,강남구,0.0523,0.0056,0.8,0.0038,47,32
20230105,강동구,0.0443,0.003,0.72,0.003,52,38
20230105,강북구,0.0353,0.0143,0.75,0.0029,47,31
20230105,강서구,0.056,0.0052,1.07,0.0051,66,38
