년월,미세먼지,초미세먼지
2019-01,66,38
2019-02,57,35
2019-03,69,45
2019-04,41,21
2019-05,53,29
2019-06,29,20
2019-07,26,19
2019-08,25,16
2019-09,21,12
2019-10,33,15
2019-11,41,20
2019-12,41,28
2020-01,43,29
2020-02,41,28
2020-03,45,25
2020-04,44,21
2020-05,35,19
2020-06,36,21
2020-07,21,13
2020-08,23,15
2020-09,19,11
2020-10,33,17
2020-11,42,24
2020-12,42,27
2021-01,38,21
2021-02,48,29
2021-03,67,33
2021-04,42,19
2021-05,61,20
2021-06,33,19
2021-07,24,15
2021-08,21,13
2021-09,15,7
2021-10,27,13
2021-11,46,27
2021-12,39,23
2022-01,44,29
2022-02,40,26
2022-03,42,21
2022-04,45,22
2022-05,33,17
2022-06,22,12
2022-07,25,16
2022-08,20,12
2022-09,22,11
2022-10,25,14
2022-11,39,23
2022-12,37,19
2023-01,49,27
2023-02,46,31
2023-03,68,31
2023-04,63,21
2023-05,39,18
2023-06,28,17
2023-07,27,17
2023-08,22,14
2023-09,21,11
2023-10,28,15
2023-11,30,17
2023-12,36,21
2024-01,36,24
2024-02,33,23
2024-03,49,22
2024-04,50,22
2024-05,30,15
2024-06,31,18
2024-07,20,12
2024-08,24,16
2024-09,16,9
2024-10,23,13
2024-11,29,16
2024-12,34,19
