년월일,최대순간풍속(m/s),평균기온(℃),최저기온(℃),최고기온(℃),일강수량(mm),최저습도(%),최고습도(%),최저기압(hPa),최고기압(hPa)
2019-01-01,8.6,-4.4,-8.2,-0.6,0,34,64,"1,031.30","1,035.80"
2019-01-02,6.7,-4.3,-8.8,0.2,0,20,64,"1,033.10","1,036.60"
2019-01-03,5.3,-2.6,-8.4,3.2,0,18,59,"1,033.70","1,037.10"
2019-01-04,6.3,-1.1,-6.2,4.1,0,34,83,"1,026.70","1,035.50"
2019-01-05,7.1,-2.2,-5.5,1.1,0,20,81,"1,025.90","1,029.50"
2019-01-06,6.2,-1.8,-6.3,2.7,0,19,51,"1,027.50","1,029.70"
2019-01-07,7.8,-1.6,-6.2,3.1,0,28,66,"1,027.10","1,030.10"
2019-01-08,12,-3.4,-7.2,0.5,0,20,47,"1,027","1,033.40"
2019-01-09,6,-4.1,-9.4,1.3,0,17,39,"1,029.50","1,036.60"
2019-01-10,6.8,-0.8,-4.5,3,0,27,78,"1,024.60","1,029.60"
2019-01-11,4.8,3.4,-0.4,7.2,0,39,78,"1,022.20","1,027.30"
2019-01-12,5.9,3.7,-0.6,8,0,32,58,"1,020.90","1,024.40"
2019-01-13,5.8,2.3,-3,7.6,0,21,78,"1,024.40","1,026.70"
2019-01-14,4.3,1.5,-2.4,5.3,0,50,82,"1,023.30","1,028.10"
2019-01-15,11.1,-2.3,-7.2,2.6,0,30,84,"1,021.70","1,027.80"
2019-01-16,7.5,-5.6,-10.1,-1.1,0,17,80,"1,024.70","1,029.40"
2019-01-17,9.1,0.4,-3.2,4,0,19,80,"1,022.30","1,027.70"
2019-01-18,7.2,1.1,-4.6,6.7,0,21,67,"1,026","1,029.70"
2019-01-19,5.1,4.3,0,8.5,0,44,72,"1,018.60","1,026.80"
2019-01-20,10.3,-0.8,-5.5,4,0,19,78,"1,018.10","1,026.20"
2019-01-21,9.3,-1.3,-6.7,4.2,0,40,79,"1,018.60","1,026.20"
2019-01-22,8.5,1.9,-3.3,7.1,0,42,77,"1,018","1,020.70"
2019-01-23,9.8,3.1,-0.8,7,0,17,89,"1,017.70","1,023.80"
2019-01-24,6.3,1,-4.6,6.5,0,11,53,"1,023.40","1,026.10"
2019-01-25,9.6,-0.6,-3.8,2.6,0,18,57,"1,022","1,026.30"
2019-01-26,8,-2.1,-6.5,2.4,0,20,43,"1,026.10","1,030.40"
2019-01-27,7,-0.8,-6.6,5.1,0,28,70,"1,021.10","1,031.10"
2019-01-28,11.7,1.1,-2.4,4.5,0,17,78,"1,018.70","1,026.60"
2019-01-29,6.7,0.7,-5.6,7,0,18,50,"1,025.90","1,029.60"
2019-01-30,7.9,1.9,-2.8,6.6,0,39,76,"1,022.90","1,028.50"
2019-01-31,7.8,-2,-6.2,2.3,0,18,72,"1,019","1,024"
2019-02-01,9.1,-2.3,-7.4,2.8,0,27,84,"1,022.70","1,025.20"
2019-02-02,5.7,1.5,-3.2,6.1,0,46,76,"1,018.80","1,024.20"
2019-02-03,9.1,3.5,2,4.9,16,53,97,"1,008","1,018.80"
2019-02-04,10,-0.2,-3.3,3,0,17,85,"1,018.50","1,028.20"
2019-02-05,5.9,3.3,-3.6,10.1,0,17,59,"1,018.20","1,026.20"
2019-02-06,6.5,4.7,0.1,9.3,0,34,82,"1,014.30","1,018.70"
2019-02-07,10,-1,-8.2,6.3,0.5,18,89,"1,015.60","1,028.60"
2019-02-08,8.3,-5.8,-10.2,-1.3,0,18,41,"1,023.80","1,029.40"
2019-02-09,8.6,-5.3,-8.6,-1.9,0,20,47,"1,024","1,032.30"
2019-02-10,6.7,-5.5,-9.1,-1.9,0,22,42,"1,029.30","1,032.90"
2019-02-11,9.7,-2.8,-7.5,2,0,19,48,"1,029.60","1,034.30"
2019-02-12,7.5,-0.2,-4.1,3.7,0,22,60,"1,032","1,036.20"
2019-02-13,8.4,-1.6,-5.7,2.5,0,15,37,"1,031.10","1,035"
2019-02-14,5.8,0.2,-5.9,6.3,0,16,37,"1,027.20","1,034"
2019-02-15,7.9,-1,-2.9,0.9,0,30,93,"1,020.90","1,028.30"
2019-02-16,8.1,-1.8,-5.1,1.5,0,38,75,"1,022.30","1,025.70"
2019-02-17,7.3,-1.1,-6.8,4.6,0,23,66,"1,024.90","1,027.80"
2019-02-18,5,0.6,-4.7,5.9,0,27,65,"1,023.20","1,027.80"
2019-02-19,7.7,1.6,0.2,3,3,36,95,"1,016.60","1,023.30"
2019-02-20,7.9,2.2,-0.1,4.5,0,48,79,"1,021.30","1,027.80"
2019-02-21,5.8,3.2,-2.6,9,0,32,79,"1,024.80","1,028.50"
2019-02-22,6.9,4.6,-1.6,10.8,0,28,78,"1,018.90","1,025.30"
2019-02-23,8,7.5,0.5,14.5,0,15,72,"1,021","1,024.90"
2019-02-24,8,7.5,1.2,13.7,0,20,77,"1,020","1,025.50"
2019-02-25,8.1,5.8,1.3,10.2,0,26,88,"1,019.90","1,023.20"
