순위,년도,구단,득점,도움,슈팅,유효 슈팅,블락된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,프리킥 슈팅,프리킥 유효슈팅,프리킥 크로스 (시도),프리킥 크로스 (성공),프리킥 크로스 (성공%),오프사이드,코너킥,스로인,드리블 (시도),드리블 (성공),드리블 (성공%),패스 (시도),패스 (성공),패스 (성공%),키패스,전방패스 (시도),전방패스 (성공),전방패스 (성공%),후방패스 (시도),후방패스 (성공),후방패스 (성공%),횡패스 (시도),횡패스 (성공),횡패스 (성공%),공격진영 패스 (시도),공격진영 패스 (성공),공격진영 패스 (성공%),수비진영 패스 (시도),수비진영 패스 (성공),수비진영 패스 (성공%),중앙진영 패스 (시도),중앙진영 패스 (성공),중앙진영 패스 (성공%),롱패스 (시도),롱패스 (성공),롱패스 (성공%),중거리패스 (시도),중거리패스 (성공),중거리패스 (성공%),단거리패스 (시도),단거리패스 (성공),단거리패스 (성공%),크로스 (시도),크로스 (성공),크로스 (성공%),탈압박,경합 지상 (시도),경합 지상 (성공),경합 지상 (성공%),경합 공중 (시도),경합 공중 (성공),경합 공중 (성공%),태클 (시도),태클 (성공),태클 (성공%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
6,2022,강원,50,28,384,130,62,192,229,155,19,6,75,19,998.3,49,155,774,304,135,22.2,14900,11863,79.6,219,6031,3708,61.5,2769,2639,95.3,6100,5516,90.4,2968,2384,80.3,3591,2483,69.1,8341,6996,83.9,2581,1426,55.2,5271,4531,86,7048,5906,83.8,772,155,20.1,109,1011,523,51.7,1798,842,46.8,813,268,33,1375,1237,745,1998,861,259,410,403,46,0
11,2022,김천,45,26,442,159,87,196,237,205,16,3,36,6,283.3,44,162,714,282,125,26.2,20436,17715,86.7,252,7187,5258,73.2,3968,3822,96.3,9281,8635,93,3849,3243,84.3,5586,4720,84.5,11001,9752,88.6,2849,1980,69.5,7329,6677,91.1,10258,9058,88.3,765,141,18.4,126,937,460,49.1,1329,670,50.4,808,263,32.5,1036,1210,659,1912,758,245,398,409,58,0
8,2022,대구,52,32,448,150,86,212,263,185,20,8,59,16,791.7,57,140,789,300,120,27.6,12891,9998,77.6,271,5795,3557,61.4,2197,2094,95.3,4899,4347,88.7,2705,2133,78.9,3521,2471,70.2,6665,5394,80.9,2423,1378,56.9,4285,3580,83.5,6183,5040,81.5,738,167,22.6,85,1107,551,49.8,1754,911,51.9,876,280,32,1252,1257,778,1895,845,257,557,408,88,1
9,2022,서울,43,29,457,151,100,206,286,171,13,3,49,16,966.7,56,199,888,280,109,30,23744,20923,88.1,271,7999,6016,75.2,4769,4630,97.1,10976,10277,93.6,4739,3923,82.8,5945,5229,88,13060,11771,90.1,2796,2087,74.6,9188,8396,91.4,11760,10440,88.8,840,181,21.5,121,902,439,48.7,1409,722,51.2,658,244,37.1,972,1333,581,1802,745,259,401,380,71,1
12,2022,성남,37,22,434,149,96,189,216,218,20,5,48,8,491.7,56,159,754,277,121,27.1,15183,12307,81.1,231,6162,3949,64.1,2871,2769,96.4,6150,5589,90.9,2551,2040,80,4593,3542,77.1,8039,6725,83.7,2521,1483,58.8,5344,4635,86.7,7318,6189,84.6,703,157,22.3,144,1117,574,51.4,1810,846,46.7,850,263,30.9,1291,1186,625,1985,856,270,437,405,71,1
10,2022,수원,44,33,395,135,79,181,247,148,15,5,66,19,893.3,51,158,717,235,102,31.2,15238,12382,81.3,225,6138,3943,64.2,2773,2672,96.4,6327,5767,91.1,2522,1928,76.4,4182,3280,78.4,8534,7174,84.1,2539,1566,61.7,5373,4655,86.6,7326,6161,84.1,733,156,21.3,97,889,449,50.5,1865,950,50.9,782,287,36.7,1166,1153,655,1880,791,223,442,446,73,1
7,2022,수원FC,56,38,409,138,86,185,220,189,14,0,60,15,853.3,41,146,699,219,85,28.9,15620,12514,80.1,261,6379,4068,63.8,2864,2719,94.9,6377,5727,89.8,2703,2028,75,4235,3204,75.7,8682,7282,83.9,2655,1541,58,5240,4441,84.8,7725,6532,84.6,625,144,23,97,1015,500,49.3,2015,1037,51.5,775,252,32.5,1308,1191,683,1896,805,220,396,463,50,2
1,2022,울산,57,32,463,170,115,178,303,160,14,4,40,11,525,48,182,741,299,131,20,22697,20073,88.4,258,7684,5782,75.2,4658,4555,97.8,10355,9736,94,4779,4125,86.3,5280,4575,86.6,12638,11373,90,2951,2109,71.5,7646,6990,91.4,12100,10974,90.7,829,165,19.9,185,875,448,51.2,1312,676,51.5,820,291,35.5,964,1285,577,1826,662,225,362,424,56,2
4,2022,인천,46,31,400,131,87,182,220,180,13,1,36,6,433.3,61,157,781,270,125,18.6,16044,13050,81.3,244,6462,4181,64.7,3043,2926,96.2,6539,5943,90.9,2789,2239,80.3,4281,3243,75.8,8974,7568,84.3,2219,1221,55,4886,4128,84.5,8939,7701,86.2,687,150,21.8,110,1093,560,51.2,1786,885,49.6,897,313,34.9,1381,1230,716,1918,881,214,449,413,63,2
2,2022,전북,56,37,435,170,79,186,274,161,17,5,42,10,533.3,76,161,753,259,95,17.2,18797,16059,85.4,274,7113,5047,71,3570,3445,96.5,8114,7567,93.3,3419,2734,80,5177,4371,84.4,10201,8954,87.8,2595,1733,66.8,6802,6104,89.7,9400,8222,87.5,799,192,24,100,951,484,50.9,1766,982,55.6,796,266,33.4,1213,1192,634,1855,811,236,452,379,61,1
