고객ID,Recency,Frequency,Monetary,R점수,F점수,M점수,RFM합계,군집,이탈여부,세그먼트
C100000,0,33.0,1145100,5,3,3,11,0,0,휴면/이탈위험
C100001,18,66.0,2277000,3,4,4,11,3,0,성장 잠재고객
C100002,0,125.8,3597900,5,5,5,15,3,0,성장 잠재고객
C100003,9,41.6,1426900,4,3,4,11,0,0,휴면/이탈위험
C100004,85,239.7,7670400,1,5,5,11,1,1,VIP 충성고객
C100005,25,52.8,2101400,2,4,4,10,0,0,휴면/이탈위험
C100006,32,55.8,2650500,2,4,5,11,3,0,성장 잠재고객
C100007,27,34.2,1997300,2,3,4,9,0,0,휴면/이탈위험
C100008,0,102.0,2692800,5,5,5,15,3,0,성장 잠재고객
C100009,5,9.8,275400,4,1,1,6,0,0,휴면/이탈위험
C100010,21,34.1,832000,3,3,3,9,0,1,휴면/이탈위험
C100011,19,98.6,2396000,3,5,4,12,3,0,성장 잠재고객
C100012,13,34.8,1131000,3,3,3,9,0,0,휴면/이탈위험
C100013,7,39.9,1995000,4,3,4,11,0,0,휴면/이탈위험
C100014,51,6.0,93600,1,1,1,3,2,1,일반 유지고객
C100015,95,111.6,4508600,1,5,5,11,2,1,일반 유지고객
C100016,0,10.2,148900,5,1,1,7,0,0,휴면/이탈위험
C100017,45,60.2,2167200,1,4,4,9,2,0,일반 유지고객
C100018,19,45.6,829900,3,4,3,10,0,0,휴면/이탈위험
C100019,28,8.0,335200,2,1,1,4,0,1,휴면/이탈위험
C100020,5,34.4,2009000,4,3,4,11,0,0,휴면/이탈위험
C100021,39,14.7,380700,1,2,1,4,2,0,일반 유지고객
C100022,0,14.4,783400,5,1,2,8,0,0,휴면/이탈위험
C100023,65,144.5,3598000,1,5,5,11,3,0,성장 잠재고객
C100024,18,61.6,1632400,3,4,4,11,0,0,휴면/이탈위험
C100025,7,54.0,2143800,4,4,4,12,0,0,휴면/이탈위험
C100026,30,28.8,144000,2,3,1,6,0,0,휴면/이탈위험
C100027,10,6.0,144600,4,1,1,6,0,0,휴면/이탈위험
C100028,32,123.5,4260800,2,5,5,12,3,0,성장 잠재고객
C100029,9,54.0,3148200,4,4,5,13,3,0,성장 잠재고객
C100030,21,57.6,2419200,3,4,4,11,3,0,성장 잠재고객
C100031,53,45.5,2015600,1,4,4,9,2,0,일반 유지고객
C100032,14,12.0,464400,3,1,2,6,0,1,휴면/이탈위험
C100033,15,19.6,1072100,3,2,3,8,0,0,휴면/이탈위험
C100034,43,29.7,703900,1,3,2,6,2,0,일반 유지고객
C100035,0,70.4,2421800,5,4,4,13,3,0,성장 잠재고객
C100036,72,8.4,358700,1,1,1,3,2,1,일반 유지고객
C100037,0,89.1,6887400,5,5,5,15,3,0,성장 잠재고객
C100038,0,42.0,1911000,5,3,4,12,0,0,휴면/이탈위험
C100039,11,50.6,2691900,4,4,5,13,3,0,성장 잠재고객
C100040,42,67.5,972000,1,4,3,8,2,0,일반 유지고객
C100041,28,79.9,2964300,2,5,5,12,3,0,성장 잠재고객
C100042,71,14.3,676400,1,1,2,4,2,1,일반 유지고객
C100043,53,80.6,806000,1,5,2,8,2,1,일반 유지고객
C100044,3,16.0,504000,4,2,2,8,0,1,휴면/이탈위험
C100045,0,39.6,1382000,5,3,3,11,0,0,휴면/이탈위험
C100046,27,20.0,378000,2,2,1,5,0,1,휴면/이탈위험
C100047,8,25.5,1045500,4,2,3,9,0,0,휴면/이탈위험
C100048,13,236.6,8635900,3,5,5,13,1,0,VIP 충성고객
C100049,14,16.5,490100,3,2,2,7,0,0,휴면/이탈위험
C100050,0,26.1,1341500,5,2,3,10,0,0,휴면/이탈위험
C100051,0,198.4,5932200,5,5,5,15,1,0,VIP 충성고객
C100052,58,18.2,875400,1,2,3,6,2,1,일반 유지고객
C100053,9,12.6,367900,4,1,1,6,0,0,휴면/이탈위험
C100054,32,19.6,1115200,2,2,3,7,0,0,휴면/이탈위험
C100055,30,15.3,581400,2,2,2,6,0,0,휴면/이탈위험
C100056,15,54.9,1795200,3,4,4,11,0,0,휴면/이탈위험
C100057,34,40.0,1048000,2,3,3,8,0,1,휴면/이탈위험
C100058,0,2.3,26900,5,1,1,7,0,0,휴면/이탈위험
C100059,1,15.6,489800,5,2,2,9,0,0,휴면/이탈위험
C100060,4,23.2,911800,4,2,3,9,0,0,휴면/이탈위험
C100061,16,13.6,491000,3,1,2,6,0,1,휴면/이탈위험
C100062,24,88.8,5621000,2,5,5,12,3,0,성장 잠재고객
C100063,92,4.8,133400,1,1,1,3,2,1,일반 유지고객
C100064,10,5.2,72300,4,1,1,6,0,0,휴면/이탈위험
C100065,13,60.0,2406000,3,4,4,11,3,0,성장 잠재고객
C100066,2,54.0,2818800,4,4,5,13,3,0,성장 잠재고객
C100067,8,43.7,1887800,4,3,4,11,0,0,휴면/이탈위험
C100068,5,37.2,844400,4,3,3,10,0,0,휴면/이탈위험
C100069,9,86.4,3810200,4,5,5,14,3,0,성장 잠재고객
C100070,0,49.7,2286200,5,4,4,13,0,0,휴면/이탈위험
C100071,14,68.0,2794800,3,4,5,12,3,0,성장 잠재고객
C100072,0,30.0,966000,5,3,3,11,0,0,휴면/이탈위험
C100073,63,5.0,162500,1,1,1,3,2,1,일반 유지고객
C100074,15,10.4,499200,3,1,2,6,0,0,휴면/이탈위험
C100075,17,132.3,6707600,3,5,5,13,1,0,VIP 충성고객
C100076,54,6.0,62400,1,1,1,3,2,1,일반 유지고객
C100077,3,9.6,621100,4,1,2,7,0,0,휴면/이탈위험
C100078,2,96.0,2112000,4,5,4,13,3,0,성장 잠재고객
C100079,0,42.9,1081100,5,3,3,11,0,0,휴면/이탈위험
C100080,16,16.5,587400,3,2,2,7,0,1,휴면/이탈위험
C100081,19,4.6,201900,3,1,1,5,0,0,휴면/이탈위험
C100082,24,57.0,598500,2,4,2,8,0,0,휴면/이탈위험
C100083,42,177.6,4120300,1,5,5,11,3,0,성장 잠재고객
C100084,58,32.3,755800,1,3,2,6,2,0,일반 유지고객
C100085,16,50.6,1371300,3,4,3,10,0,0,휴면/이탈위험
C100086,48,272.6,12212500,1,5,5,11,1,0,VIP 충성고객
C100087,10,30.6,1107700,4,3,3,10,0,0,휴면/이탈위험
C100088,42,4.0,197200,1,1,1,3,2,1,일반 유지고객
C100089,26,170.1,7195200,2,5,5,12,1,0,VIP 충성고객
C100090,6,11.2,269900,4,1,1,6,0,0,휴면/이탈위험
C100091,65,24.0,842400,1,2,3,6,2,0,일반 유지고객
C100092,6,20.0,560000,4,2,2,8,0,0,휴면/이탈위험
C100093,11,14.4,663800,4,1,2,7,0,0,휴면/이탈위험
C100094,2,66.0,3319800,4,4,5,13,3,0,성장 잠재고객
C100095,0,80.0,3384000,5,5,5,15,3,0,성장 잠재고객
C100096,23,28.5,1060200,2,3,3,8,0,1,휴면/이탈위험
C100097,57,14.4,574600,1,1,2,4,2,1,일반 유지고객
C100098,39,30.6,379400,1,3,1,5,2,0,일반 유지고객
C100099,0,44.0,985600,5,3,3,11,0,0,휴면/이탈위험
C100100,89,5.2,150300,1,1,1,3,2,1,일반 유지고객
C100101,33,20.4,489600,2,2,2,6,0,0,휴면/이탈위험
C100102,7,37.5,1102500,4,3,3,10,0,0,휴면/이탈위험
C100103,0,18.6,331100,5,2,1,8,0,0,휴면/이탈위험
C100104,0,40.5,1308200,5,3,3,11,0,0,휴면/이탈위험
C100105,28,18.0,783000,2,2,2,6,0,0,휴면/이탈위험
C100106,47,21.6,676100,1,2,2,5,2,1,일반 유지고객
C100107,22,17.0,807500,2,2,2,6,0,0,휴면/이탈위험
C100108,39,16.5,594000,1,2,2,5,2,0,일반 유지고객
C100109,55,12.5,278800,1,1,1,3,2,0,일반 유지고객
C100110,6,21.3,973400,4,2,3,9,0,0,휴면/이탈위험
C100111,13,40.0,1728000,3,3,4,10,0,0,휴면/이탈위험
C100112,0,10.8,349900,5,1,1,7,0,0,휴면/이탈위험
C100113,39,2.4,54200,1,1,1,3,2,1,일반 유지고객
C100114,7,35.0,1533000,4,3,4,11,0,0,휴면/이탈위험
C100115,105,57.6,1319000,1,4,3,8,2,1,일반 유지고객
C100116,0,28.0,1374800,5,3,3,11,0,0,휴면/이탈위험
C100117,18,11.0,264000,3,1,1,5,0,0,휴면/이탈위험
C100118,63,13.8,389200,1,1,1,3,2,1,일반 유지고객
C100119,2,21.0,1056300,4,2,3,9,0,0,휴면/이탈위험
C100120,10,18.0,498600,4,2,2,8,0,0,휴면/이탈위험
C100121,8,155.0,775000,4,5,2,11,3,0,성장 잠재고객
C100122,44,22.1,729300,1,2,2,5,2,1,일반 유지고객
C100123,25,13.5,633200,2,1,2,5,0,0,휴면/이탈위험
C100124,43,42.0,1575000,1,3,4,8,2,0,일반 유지고객
C100125,20,64.0,2528000,3,4,4,11,3,0,성장 잠재고객
C100126,23,20.9,545500,2,2,2,6,0,0,휴면/이탈위험
C100127,11,16.8,278900,4,2,1,7,0,0,휴면/이탈위험
C100128,55,10.4,432600,1,1,2,4,2,0,일반 유지고객
C100129,0,214.4,10226900,5,5,5,15,1,0,VIP 충성고객
C100130,75,7.0,191800,1,1,1,3,2,0,일반 유지고객
C100131,7,30.6,1361700,4,3,3,10,0,1,휴면/이탈위험
C100132,0,32.0,995200,5,3,3,11,0,0,휴면/이탈위험
C100133,15,2.4,95300,3,1,1,5,0,1,휴면/이탈위험
C100134,0,25.3,867800,5,2,3,10,0,0,휴면/이탈위험
C100135,54,19.6,693800,1,2,2,5,2,0,일반 유지고객
C100136,0,69.7,3666200,5,4,5,14,3,0,성장 잠재고객
C100137,3,23.1,683800,4,2,2,8,0,0,휴면/이탈위험
C100138,0,10.2,56100,5,1,1,7,0,0,휴면/이탈위험
C100139,4,20.0,524000,4,2,2,8,0,0,휴면/이탈위험
C100140,24,81.2,3962600,2,5,5,12,3,0,성장 잠재고객
C100141,12,25.2,1068500,3,2,3,8,0,1,휴면/이탈위험
C100142,0,10.8,443900,5,1,2,8,0,0,휴면/이탈위험
C100143,12,17.6,547400,3,2,2,7,0,0,휴면/이탈위험
C100144,42,16.1,887100,1,2,3,6,2,0,일반 유지고객
C100145,47,10.4,264200,1,1,1,3,2,0,일반 유지고객
C100146,0,17.6,888800,5,2,3,10,0,0,휴면/이탈위험
C100147,42,5.9,210600,1,1,1,3,2,0,일반 유지고객
C100148,47,21.6,568100,1,2,2,5,2,0,일반 유지고객
C100149,42,3.3,128000,1,1,1,3,2,0,일반 유지고객
C100150,0,30.0,1317000,5,3,3,11,0,0,휴면/이탈위험
C100151,1,57.2,1510100,5,4,4,13,0,0,휴면/이탈위험
C100152,35,14.3,247400,2,1,1,4,0,1,휴면/이탈위험
C100153,34,26.6,816600,2,2,3,7,0,1,휴면/이탈위험
C100154,32,22.1,1065200,2,2,3,7,0,0,휴면/이탈위험
C100155,16,27.5,987200,3,3,3,9,0,0,휴면/이탈위험
C100156,87,37.1,931200,1,3,3,7,2,0,일반 유지고객
C100157,40,95.2,3484300,1,5,5,11,3,0,성장 잠재고객
C100158,2,19.0,294500,4,2,1,7,0,0,휴면/이탈위험
C100159,4,10.2,390700,4,1,1,6,0,0,휴면/이탈위험
C100160,42,34.0,785400,1,3,2,6,2,0,일반 유지고객
C100161,0,19.5,627900,5,2,2,9,0,0,휴면/이탈위험
C100162,0,21.2,547000,5,2,2,9,0,0,휴면/이탈위험
C100163,0,25.0,982500,5,2,3,10,0,0,휴면/이탈위험
C100164,2,155.4,8422700,4,5,5,14,1,0,VIP 충성고객
