고객ID,성별,연령,지역,가입채널,가입개월수,요금제,월요금,결제수단,자동결제여부,월평균로그인수,월평균주문수,평균주문금액,누적결제금액,최근주문경과일,CS문의수,만족도점수,쿠폰사용률,모바일사용비중,이탈여부
C100000,남,44,서울,SNS,30,Standard,19900,신용카드,1,14,1.1,34700,1145100,0,0,4.4,0.248,0.888,0
C100001,남,42,경기,검색광고,11,Premium,34900,체크카드,0,21,6.0,34500,2277000,18,2,4.0,0.322,0.802,0
C100002,남,34,부산,SNS,34,Basic,9900,간편결제,1,22,3.7,28600,3597900,0,0,3.9,0.294,0.918,0
C100003,남,28,인천,지인추천,13,Premium,34900,신용카드,1,11,3.2,34300,1426900,9,1,3.5,0.512,0.781,0
C100004,남,35,광주,검색광고,47,Basic,9900,간편결제,1,13,5.1,32000,7670400,85,1,1.9,0.6,0.764,1
C100005,여,25,서울,지인추천,11,Premium,34900,신용카드,0,25,4.8,39800,2101400,25,3,,0.189,0.597,0
C100006,남,44,서울,검색광고,9,Premium,34900,간편결제,1,11,6.2,47500,2650500,32,1,3.7,0.558,0.891,0
C100007,남,43,기타,지인추천,9,Premium,34900,신용카드,1,16,3.8,58400,1997300,27,2,2.0,0.45,0.581,0
C100008,남,69,기타,지인추천,17,Standard,19900,신용카드,1,21,6.0,26400,2692800,0,1,2.9,0.321,0.694,0
C100009,남,21,서울,SNS,14,Basic,9900,신용카드,1,9,0.7,28100,275400,5,0,4.5,0.137,0.918,0
C100010,남,35,서울,제휴몰,11,Basic,9900,신용카드,0,17,3.1,24400,832000,21,0,4.2,0.405,0.933,1
C100011,여,57,대구,SNS,29,Basic,9900,신용카드,1,15,3.4,24300,2396000,19,0,5.0,0.474,0.762,0
C100012,여,57,서울,SNS,12,Standard,19900,신용카드,1,20,2.9,32500,1131000,13,0,2.4,0.221,0.767,0
C100013,여,48,기타,SNS,19,Premium,34900,체크카드,1,6,2.1,50000,1995000,7,0,4.8,0.071,0.879,0
C100014,여,30,경기,검색광고,15,Basic,9900,신용카드,0,0,0.4,15600,93600,51,2,3.6,0.102,0.589,1
C100015,여,33,대구,검색광고,36,Premium,34900,신용카드,1,28,3.1,40400,4508600,95,1,2.5,0.245,0.726,1
C100016,남,47,대전,검색광고,3,Basic,9900,신용카드,1,12,3.4,14600,148900,0,4,3.3,0.461,0.757,0
C100017,여,37,대전,지인추천,14,Basic,9900,신용카드,1,1,4.3,36000,2167200,45,0,2.7,0.134,0.843,0
C100018,남,56,부산,앱스토어,24,Basic,9900,체크카드,0,18,1.9,18200,829900,19,0,3.6,0.448,0.919,0
C100019,여,38,부산,지인추천,4,Basic,9900,신용카드,0,7,2.0,41900,335200,28,3,4.1,0.205,0.572,1
C100020,여,33,서울,SNS,8,Premium,34900,간편결제,1,12,4.3,58400,2009000,5,2,2.5,0.41,0.776,0
C100021,남,23,대구,앱스토어,7,Basic,9900,체크카드,0,21,2.1,25900,380700,39,0,3.6,0.421,0.622,0
C100022,남,22,기타,지인추천,16,Standard,19900,체크카드,1,9,0.9,54400,783400,0,0,3.7,0.152,0.885,0
C100023,남,21,기타,SNS,17,Basic,9900,간편결제,0,9,8.5,24900,3598000,65,2,2.9,0.127,0.625,0
C100024,여,40,경기,검색광고,22,Standard,19900,체크카드,1,23,2.8,26500,1632400,18,1,4.9,0.224,0.686,0
C100025,여,35,서울,앱스토어,20,Basic,9900,신용카드,1,10,2.7,39700,2143800,7,0,3.1,0.333,0.86,0
C100026,여,34,서울,SNS,18,Basic,9900,신용카드,1,18,1.6,5000,144000,30,2,3.3,0.282,0.688,0
C100027,남,49,경기,앱스토어,6,Standard,19900,신용카드,1,7,1.0,24100,144600,10,1,5.0,0.163,0.627,0
C100028,남,33,대전,앱스토어,19,Basic,9900,간편결제,1,0,6.5,34500,4260800,32,0,2.7,0.785,0.445,0
C100029,남,30,광주,SNS,20,Basic,9900,신용카드,1,8,2.7,58300,3148200,9,1,4.0,0.234,0.735,0
C100030,남,42,부산,검색광고,16,Premium,34900,계좌이체,1,24,3.6,42000,2419200,21,0,3.2,0.077,0.395,0
C100031,여,48,서울,지인추천,13,Premium,34900,간편결제,1,19,3.5,44300,2015600,53,1,5.0,0.144,0.668,0
C100032,남,35,광주,SNS,12,Basic,9900,간편결제,0,19,1.0,38700,464400,14,2,2.4,0.171,0.863,1
C100033,여,40,대구,지인추천,4,Premium,34900,신용카드,0,24,4.9,54700,1072100,15,1,3.0,,0.942,0
C100034,남,38,인천,SNS,11,Standard,19900,신용카드,0,14,2.7,23700,703900,43,1,3.2,0.106,0.863,0
C100035,남,55,부산,앱스토어,16,Standard,19900,신용카드,1,17,4.4,34400,2421800,0,3,2.6,0.194,0.544,0
C100036,남,43,경기,제휴몰,7,Standard,19900,체크카드,1,7,1.2,42700,358700,72,1,2.8,0.352,0.835,1
C100037,남,45,서울,앱스토어,11,Premium,34900,간편결제,1,13,8.1,77300,6887400,0,4,2.1,0.071,0.401,0
C100038,남,19,대전,SNS,10,Premium,34900,간편결제,1,17,4.2,45500,1911000,0,1,3.7,0.544,0.719,0
C100039,남,34,서울,지인추천,11,Basic,9900,신용카드,1,6,4.6,53200,2691900,11,2,,0.474,0.415,0
C100040,남,35,광주,검색광고,25,Basic,9900,신용카드,1,9,2.7,14400,972000,42,1,5.0,0.24,0.665,0
C100041,여,41,부산,지인추천,17,Basic,9900,신용카드,1,5,4.7,37100,2964300,28,1,3.5,0.399,0.562,0
C100042,남,29,부산,검색광고,13,Standard,19900,신용카드,1,25,1.1,47300,676400,71,5,2.5,0.354,0.751,1
C100043,여,25,대구,검색광고,13,Standard,19900,체크카드,0,19,6.2,10000,806000,53,0,5.0,0.2,0.742,1
C100044,여,36,인천,SNS,16,Basic,9900,간편결제,1,17,1.0,31500,504000,3,1,3.0,0.218,0.653,1
C100045,여,39,서울,앱스토어,33,Standard,19900,계좌이체,1,8,1.2,34900,1382000,0,3,3.0,0.142,0.709,0
C100046,남,54,서울,SNS,10,Standard,19900,신용카드,0,20,2.0,18900,378000,27,1,5.0,0.549,0.664,1
C100047,여,29,서울,SNS,3,Premium,34900,체크카드,1,20,8.5,41000,1045500,8,2,4.2,0.278,0.722,0
C100048,남,40,경기,검색광고,26,Standard,19900,간편결제,1,15,9.1,36500,8635900,13,2,2.5,0.056,0.897,0
C100049,여,27,인천,지인추천,15,Standard,19900,간편결제,0,14,1.1,29700,490100,14,1,3.2,0.626,0.848,0
C100050,남,41,경기,제휴몰,9,Premium,34900,간편결제,1,25,2.9,51400,1341500,0,1,4.4,0.097,0.768,0
C100051,여,57,서울,SNS,31,Premium,34900,신용카드,1,30,6.4,29900,5932200,0,2,4.3,0.21,0.923,0
C100052,남,39,인천,검색광고,7,Basic,9900,간편결제,1,4,2.6,48100,875400,58,3,3.6,0.319,0.413,1
C100053,여,29,경기,제휴몰,6,Basic,9900,간편결제,1,11,2.1,29200,367900,9,1,3.4,0.393,0.743,0
C100054,여,53,인천,검색광고,7,Standard,19900,신용카드,1,12,2.8,56900,1115200,32,0,5.0,0.427,0.585,0
C100055,남,46,기타,검색광고,9,Basic,9900,간편결제,0,8,1.7,38000,581400,30,2,2.8,0.281,0.553,0
C100056,여,46,경기,SNS,9,Basic,9900,체크카드,1,10,6.1,32700,1795200,15,0,3.4,0.372,0.633,0
C100057,남,45,경기,SNS,25,Basic,9900,간편결제,0,13,1.6,26200,1048000,34,1,,0.235,0.56,1
C100058,남,48,경기,앱스토어,1,Premium,34900,체크카드,1,6,2.3,11700,26900,0,1,3.1,0.261,0.482,0
C100059,여,23,경기,지인추천,12,Basic,9900,신용카드,1,21,1.3,31400,489800,1,3,3.8,0.271,0.581,0
C100060,여,41,서울,검색광고,29,Standard,19900,신용카드,1,6,0.8,39300,911800,4,1,5.0,,0.589,0
C100061,여,69,대전,검색광고,8,Basic,9900,간편결제,0,24,1.7,36100,491000,16,2,4.4,0.22,0.881,1
C100062,여,19,경기,SNS,37,Premium,34900,신용카드,1,15,2.4,63300,5621000,24,2,3.5,0.113,0.921,0
C100063,남,39,경기,앱스토어,6,Standard,19900,간편결제,0,12,0.8,27800,133400,92,1,3.8,0.218,0.933,1
C100064,남,21,기타,앱스토어,2,Basic,9900,간편결제,0,9,2.6,13900,72300,10,0,1.9,0.328,0.814,0
C100065,여,32,부산,SNS,20,Standard,19900,체크카드,0,10,3.0,40100,2406000,13,2,4.2,0.166,0.898,0
C100066,남,36,기타,앱스토어,18,Premium,34900,신용카드,1,6,3.0,52200,2818800,2,1,2.8,0.297,0.74,0
C100067,여,35,서울,지인추천,19,Basic,9900,간편결제,1,18,2.3,43200,1887800,8,1,1.9,0.327,0.928,0
C100068,남,55,서울,SNS,12,Standard,19900,신용카드,1,11,3.1,22700,844400,5,2,3.4,0.429,0.95,0
C100069,남,40,기타,제휴몰,16,Premium,34900,체크카드,0,27,5.4,44100,3810200,9,5,3.0,0.074,0.566,0
C100070,여,33,경기,검색광고,7,Premium,34900,체크카드,1,15,7.1,46000,2286200,0,0,3.5,0.43,0.58,0
C100071,남,41,경기,검색광고,20,Basic,9900,간편결제,1,22,3.4,41100,2794800,14,0,4.0,0.3,0.995,0
C100072,남,19,경기,앱스토어,5,Premium,34900,계좌이체,1,20,6.0,32200,966000,0,1,2.6,0.403,0.844,0
C100073,남,35,서울,앱스토어,5,Basic,9900,신용카드,0,14,1.0,32500,162500,63,1,4.6,0.201,0.667,1
C100074,여,51,서울,검색광고,8,Basic,9900,신용카드,0,27,1.3,48000,499200,15,2,4.5,0.17,0.706,0
C100075,여,38,광주,SNS,21,Basic,9900,체크카드,0,22,6.3,50700,6707600,17,0,4.0,0.399,0.452,0
C100076,여,26,부산,제휴몰,2,Basic,9900,신용카드,0,5,3.0,10400,62400,54,1,3.0,0.297,0.823,1
C100077,여,40,경기,SNS,4,Premium,34900,신용카드,1,9,2.4,64700,621100,3,1,3.6,0.296,0.414,0
C100078,남,40,대전,지인추천,16,Basic,9900,체크카드,1,25,6.0,22000,2112000,2,0,2.0,0.13,0.505,0
C100079,남,22,기타,SNS,11,Basic,9900,신용카드,1,16,3.9,25200,1081100,0,1,3.6,0.244,0.452,0
C100080,남,36,경기,앱스토어,15,Standard,19900,체크카드,0,13,1.1,35600,587400,16,0,2.6,0.164,0.733,1
C100081,남,44,서울,검색광고,2,Basic,9900,간편결제,1,13,2.3,43900,201900,19,1,3.0,0.124,0.663,0
C100082,여,27,기타,SNS,19,Standard,19900,간편결제,1,21,3.0,10500,598500,24,2,5.0,0.197,0.783,0
C100083,남,20,경기,검색광고,37,Basic,9900,신용카드,1,5,4.8,23200,4120300,42,2,4.1,0.589,0.911,0
C100084,남,30,서울,SNS,19,Basic,9900,신용카드,1,0,1.7,23400,755800,58,2,2.8,0.285,0.683,0
C100085,여,47,부산,검색광고,22,Standard,19900,계좌이체,1,13,2.3,27100,1371300,16,1,4.6,0.513,0.397,0
C100086,남,37,기타,검색광고,29,Premium,34900,체크카드,0,28,9.4,44800,12212500,48,0,3.6,0.06,0.534,0
C100087,여,49,대전,지인추천,17,Standard,19900,간편결제,1,6,1.8,36200,1107700,10,1,4.2,0.375,0.677,0
C100088,여,30,부산,지인추천,8,Basic,9900,간편결제,0,12,0.5,49300,197200,42,3,3.0,0.335,0.449,1
C100089,남,27,경기,검색광고,27,Premium,34900,신용카드,1,24,6.3,42300,7195200,26,2,3.9,0.454,0.963,0
C100090,남,37,기타,제휴몰,8,Basic,9900,신용카드,1,22,1.4,24100,269900,6,1,3.3,0.076,0.809,0
C100091,여,30,대구,SNS,5,Basic,9900,체크카드,0,2,4.8,35100,842400,65,1,3.6,0.268,0.721,0
C100092,여,47,대전,SNS,25,Basic,9900,신용카드,1,6,0.8,28000,560000,6,1,3.2,0.765,,0
C100093,여,26,서울,검색광고,9,Basic,9900,간편결제,1,13,1.6,46100,663800,11,1,4.3,0.17,0.765,0
C100094,여,24,인천,검색광고,12,Standard,19900,체크카드,1,23,5.5,50300,3319800,2,0,3.7,0.089,0.92,0
C100095,남,75,인천,SNS,20,Basic,9900,간편결제,1,16,4.0,42300,3384000,0,0,2.1,0.244,0.318,0
C100096,남,27,인천,검색광고,19,Basic,9900,신용카드,0,12,1.5,37200,1060200,23,0,3.9,0.217,0.918,1
C100097,여,42,부산,앱스토어,16,Standard,19900,체크카드,1,4,0.9,39900,574600,57,0,3.2,0.655,0.81,1
C100098,남,56,기타,검색광고,9,Standard,19900,신용카드,1,11,3.4,12400,379400,39,0,4.4,0.4,0.932,0
C100099,남,39,기타,검색광고,10,Basic,9900,간편결제,1,25,4.4,22400,985600,0,0,3.4,0.358,0.853,0
C100100,여,44,경기,검색광고,2,Basic,9900,신용카드,1,4,2.6,28900,150300,89,3,4.3,0.1,0.695,1
C100101,남,36,인천,지인추천,17,Standard,19900,신용카드,0,7,1.2,24000,489600,33,0,5.0,0.349,0.84,0
C100102,여,50,서울,앱스토어,5,Basic,9900,간편결제,0,9,7.5,29400,1102500,7,2,4.3,0.2,0.905,0
C100103,남,34,서울,검색광고,6,Basic,9900,신용카드,1,12,3.1,17800,331100,0,2,4.3,0.716,0.728,0
C100104,남,37,경기,검색광고,9,Standard,19900,계좌이체,1,20,4.5,32300,1308200,0,1,4.1,0.259,0.822,0
C100105,남,57,경기,검색광고,18,Standard,19900,신용카드,0,15,1.0,43500,783000,28,2,4.5,0.319,0.763,0
C100106,여,34,광주,검색광고,18,Basic,9900,체크카드,1,14,1.2,31300,676100,47,2,4.0,0.206,0.623,1
C100107,여,27,경기,앱스토어,10,Basic,9900,신용카드,0,12,1.7,47500,807500,22,1,3.1,0.482,0.843,0
C100108,여,35,기타,SNS,11,Standard,19900,간편결제,1,18,1.5,36000,594000,39,1,3.2,0.043,,0
C100109,여,32,대구,앱스토어,5,Standard,19900,간편결제,1,8,2.5,22300,278800,55,1,3.3,0.316,0.686,0
C100110,여,51,경기,SNS,3,Standard,19900,간편결제,1,23,7.1,45700,973400,6,1,1.9,0.472,0.886,0
C100111,남,42,서울,검색광고,10,Standard,19900,신용카드,1,11,4.0,43200,1728000,13,0,4.4,0.577,0.576,0
C100112,여,23,대전,앱스토어,3,Premium,34900,신용카드,1,25,3.6,32400,349900,0,1,3.2,0.409,0.838,0
C100113,여,30,대전,제휴몰,2,Basic,9900,체크카드,0,8,1.2,22600,54200,39,1,2.7,0.277,0.621,1
C100114,여,27,서울,지인추천,14,Standard,19900,간편결제,1,23,2.5,43800,1533000,7,0,3.4,0.057,0.503,0
C100115,여,47,서울,검색광고,16,Basic,9900,신용카드,1,7,3.6,22900,1319000,105,2,2.1,,0.728,1
C100116,남,40,인천,SNS,7,Premium,34900,간편결제,1,12,4.0,49100,1374800,0,0,3.8,0.475,0.558,0
C100117,남,19,서울,지인추천,11,Standard,19900,신용카드,1,23,1.0,24000,264000,18,1,3.4,0.566,0.893,0
C100118,남,37,인천,검색광고,6,Basic,9900,신용카드,0,17,2.3,28200,389200,63,1,2.3,0.534,0.776,1
C100119,남,35,서울,제휴몰,21,Standard,19900,신용카드,1,22,1.0,50300,1056300,2,0,4.9,0.653,0.503,0
C100120,여,38,기타,검색광고,12,Basic,9900,신용카드,1,21,1.5,27700,498600,10,0,3.4,,,0
C100121,여,42,경기,지인추천,25,Basic,9900,간편결제,1,19,6.2,5000,775000,8,0,,0.4,0.563,0
C100122,남,26,기타,SNS,13,Basic,9900,신용카드,1,17,1.7,33000,729300,44,1,4.4,0.304,0.806,1
C100123,남,32,광주,검색광고,15,Basic,9900,계좌이체,0,17,0.9,46900,633200,25,0,4.5,0.252,0.847,0
C100124,남,45,서울,검색광고,14,Standard,19900,체크카드,1,1,3.0,37500,1575000,43,0,3.8,0.038,0.469,0
C100125,여,19,인천,제휴몰,32,Basic,9900,신용카드,0,23,2.0,39500,2528000,20,1,3.3,0.656,0.66,0
C100126,여,30,기타,제휴몰,11,Standard,19900,간편결제,1,14,1.9,26100,545500,23,0,3.5,0.206,0.965,0
C100127,여,19,서울,지인추천,7,Basic,9900,체크카드,1,8,2.4,16600,278900,11,1,3.2,0.338,0.642,0
C100128,남,45,서울,앱스토어,4,Basic,9900,신용카드,1,4,2.6,41600,432600,55,3,4.1,0.234,0.867,0
C100129,여,34,인천,지인추천,32,Premium,34900,신용카드,1,17,6.7,47700,10226900,0,1,4.0,0.162,0.953,0
C100130,남,19,대구,검색광고,5,Basic,9900,계좌이체,0,5,1.4,27400,191800,75,2,1.1,0.309,0.807,0
C100131,여,68,기타,SNS,6,Basic,9900,신용카드,0,7,5.1,44500,1361700,7,0,5.0,0.216,0.802,1
C100132,여,75,인천,제휴몰,8,Premium,34900,신용카드,1,15,4.0,31100,995200,0,1,4.8,0.335,0.79,0
C100133,남,31,대전,검색광고,2,Basic,9900,간편결제,0,8,1.2,39700,95300,15,0,3.4,0.108,0.924,1
C100134,남,22,서울,SNS,23,Basic,9900,신용카드,1,15,1.1,34300,867800,0,0,4.2,0.201,0.458,0
C100135,여,57,기타,검색광고,7,Basic,9900,체크카드,1,15,2.8,35400,693800,54,1,3.6,,0.775,0
C100136,남,46,서울,검색광고,17,Premium,34900,간편결제,1,25,4.1,52600,3666200,0,1,3.5,0.352,0.789,0
C100137,여,33,서울,지인추천,11,Basic,9900,체크카드,1,22,2.1,29600,683800,3,3,3.7,0.264,0.792,0
C100138,여,43,기타,SNS,6,Standard,19900,신용카드,1,21,1.7,5500,56100,0,0,4.5,0.591,0.703,0
C100139,여,57,서울,SNS,8,Basic,9900,신용카드,1,9,2.5,26200,524000,4,0,3.4,0.099,0.55,0
C100140,남,47,경기,SNS,28,Basic,9900,간편결제,1,17,2.9,48800,3962600,24,4,1.4,0.325,0.733,0
C100141,여,26,기타,앱스토어,14,Standard,19900,간편결제,0,16,1.8,42400,1068500,12,1,3.4,0.097,0.682,1
C100142,남,44,서울,지인추천,4,Standard,19900,신용카드,1,24,2.7,41100,443900,0,0,2.6,0.265,0.908,0
C100143,남,35,서울,검색광고,8,Basic,9900,체크카드,1,10,2.2,31100,547400,12,0,3.5,0.172,0.8,0
C100144,여,38,서울,SNS,7,Basic,9900,계좌이체,0,10,2.3,55100,887100,42,3,2.2,0.135,0.908,0
C100145,남,46,광주,앱스토어,13,Standard,19900,체크카드,0,18,0.8,25400,264200,47,0,2.9,0.135,0.839,0
C100146,여,35,경기,제휴몰,8,Premium,34900,간편결제,1,11,2.2,50500,888800,0,0,4.3,0.163,0.812,0
C100147,남,56,기타,SNS,1,Standard,19900,체크카드,1,24,5.9,35700,210600,42,0,4.3,0.291,0.728,0
C100148,남,31,광주,SNS,9,Basic,9900,신용카드,1,8,2.4,26300,568100,47,1,2.9,0.293,0.891,0
C100149,여,22,대구,검색광고,1,Basic,9900,신용카드,0,23,3.3,38800,128000,42,0,5.0,0.274,0.867,0
C100150,남,45,대전,앱스토어,12,Basic,9900,신용카드,1,21,2.5,43900,1317000,0,0,4.7,0.43,0.4,0
C100151,남,36,기타,SNS,13,Standard,19900,신용카드,1,25,4.4,26400,1510100,1,3,4.5,0.251,0.919,0
C100152,남,46,경기,제휴몰,11,Standard,19900,간편결제,1,3,1.3,17300,247400,35,0,3.7,0.154,0.95,1
