고객ID,요금제,누적결제금액,최근주문경과일,만족도점수,이탈여부,이탈확률,위험등급
C100000,Standard,1145100,0,4.4,0,0.141,낮음
C100001,Premium,2277000,18,4.0,0,0.224,낮음
C100002,Basic,3597900,0,3.9,0,0.137,낮음
C100003,Premium,1426900,9,3.5,0,0.217,낮음
C100004,Basic,7670400,85,1.9,1,0.86,높음
C100005,Premium,2101400,25,3.6,0,0.336,중간
C100006,Premium,2650500,32,3.7,0,0.246,낮음
C100007,Premium,1997300,27,2.0,0,0.499,중간
C100008,Standard,2692800,0,2.9,0,0.164,낮음
C100009,Basic,275400,5,4.5,0,0.295,낮음
C100010,Basic,832000,21,4.2,1,0.575,중간
C100011,Basic,2396000,19,5.0,0,0.169,낮음
C100012,Standard,1131000,13,2.4,0,0.365,중간
C100013,Premium,1995000,7,4.8,0,0.126,낮음
C100014,Basic,93600,51,3.6,1,0.867,높음
C100015,Premium,4508600,95,2.5,1,0.705,높음
C100016,Basic,148900,0,3.3,0,0.302,중간
C100017,Basic,2167200,45,2.7,0,0.674,높음
C100018,Basic,829900,19,3.6,0,0.547,중간
C100019,Basic,335200,28,4.1,1,0.718,높음
C100020,Premium,2009000,5,2.5,0,0.258,낮음
C100021,Basic,380700,39,3.6,0,0.731,높음
C100022,Standard,783400,0,3.7,0,0.261,낮음
C100023,Basic,3598000,65,2.9,0,0.882,높음
C100024,Standard,1632400,18,4.9,0,0.097,낮음
C100025,Basic,2143800,7,3.1,0,0.317,중간
C100026,Basic,144000,30,3.3,0,0.517,중간
C100027,Standard,144600,10,5.0,0,0.206,낮음
C100028,Basic,4260800,32,2.7,0,0.513,중간
C100029,Basic,3148200,9,4.0,0,0.319,중간
C100030,Premium,2419200,21,3.2,0,0.16,낮음
C100031,Premium,2015600,53,5.0,0,0.262,낮음
C100032,Basic,464400,14,2.4,1,0.789,높음
C100033,Premium,1072100,15,3.0,0,0.342,중간
C100034,Standard,703900,43,3.2,0,0.814,높음
C100035,Standard,2421800,0,2.6,0,0.207,낮음
C100036,Standard,358700,72,2.8,1,0.894,높음
C100037,Premium,6887400,0,2.1,0,0.121,낮음
C100038,Premium,1911000,0,3.7,0,0.118,낮음
C100039,Basic,2691900,11,3.6,0,0.327,중간
C100040,Basic,972000,42,5.0,0,0.35,중간
C100041,Basic,2964300,28,3.5,0,0.416,중간
C100042,Standard,676400,71,2.5,1,0.847,높음
C100043,Standard,806000,53,5.0,1,0.399,중간
C100044,Basic,504000,3,3.0,1,0.387,중간
C100045,Standard,1382000,0,3.0,0,0.227,낮음
C100046,Standard,378000,27,5.0,1,0.486,중간
C100047,Premium,1045500,8,4.2,0,0.063,낮음
C100048,Standard,8635900,13,2.5,0,0.158,낮음
C100049,Standard,490100,14,3.2,0,0.624,높음
C100050,Premium,1341500,0,4.4,0,0.084,낮음
C100051,Premium,5932200,0,4.3,0,0.035,낮음
C100052,Basic,875400,58,3.6,1,0.801,높음
C100053,Basic,367900,9,3.4,0,0.409,중간
C100054,Standard,1115200,32,5.0,0,0.271,낮음
C100055,Basic,581400,30,2.8,0,0.846,높음
C100056,Basic,1795200,15,3.4,0,0.295,낮음
C100057,Basic,1048000,34,3.6,1,0.736,높음
C100058,Premium,26900,0,3.1,0,0.209,낮음
C100059,Basic,489800,1,3.8,0,0.233,낮음
C100060,Standard,911800,4,5.0,0,0.106,낮음
C100061,Basic,491000,16,4.4,1,0.436,중간
C100062,Premium,5621000,24,3.5,0,0.221,낮음
C100063,Standard,133400,92,3.8,1,0.957,높음
C100064,Basic,72300,10,1.9,0,0.814,높음
C100065,Standard,2406000,13,4.2,0,0.398,중간
C100066,Premium,2818800,2,2.8,0,0.236,낮음
C100067,Basic,1887800,8,1.9,0,0.471,중간
C100068,Standard,844400,5,3.4,0,0.309,중간
C100069,Premium,3810200,9,3.0,0,0.306,중간
C100070,Premium,2286200,0,3.5,0,0.058,낮음
C100071,Basic,2794800,14,4.0,0,0.214,낮음
C100072,Premium,966000,0,2.6,0,0.146,낮음
C100073,Basic,162500,63,4.6,1,0.869,높음
C100074,Basic,499200,15,4.5,0,0.426,중간
C100075,Basic,6707600,17,4.0,0,0.319,중간
